X,Y,NumAgents
181151.2067,-428128.893,7
181640.2292,-428039.96,5
179696.7973,-428237.8091,6
179698.74,-428332.3099,4
179666.7928,-428317.2098,5
179493.0492,-428336.5361,6
179432.2988,-428463.9484,5
179420.4145,-428653.3842,3
179311.2054,-428734.4086,5
179310.8823,-428718.6585,4
179217.853,-428815.1065,7
179235.6516,-428909.3927,5
179220.4385,-428941.2179,5
179030.5001,-428945.11,5
178965.5443,-428867.6567,7
178862.4862,-430020.6623,3
192965.0865,-426788.3618,7
193013.6029,-426834.5629,2
192921.0927,-426947.0187,2
193000.5327,-426961.0222,6
193036.2219,-427858.7382,8
193005.9937,-427922.546,4
194416.0456,-435555.9705,4
194703.0158,-436590.9345,5
200943.5552,-437096.7269,7
202370.3243,-437789.7385,3
196230.3411,-429080.4915,5
196864.2187,-429097.7541,5
196910.6398,-429049.4367,4
197004.9003,-429015.7984,5
197417.8287,-429069.512,5
198125.1076,-428832.7969,5
201412.4062,-429924.4974,7
206361.2575,-434935.2562,5
206740.9301,-434910.5345,8
206679.8706,-435006.6288,3
206779.0056,-435177.8319,8
206797.3921,-435287.8052,5
206781.9862,-435303.9261,5
206737.8217,-435447.0019,4
206855.6049,-436406.7017,4
217840.7545,-436117.5529,4
217685.4214,-436246.4765,3
216637.7466,-438103.1541,5
216825.9276,-438019.4881,3
